011700,한신기계공업,일반 목적용 기계 제조업
011760,현대종합상사,상품 종합 도매업
011780,금호석유화학,기초 화학물질 제조업
011790,SKC,기타 화학제품 제조업
011810,STX,상품 종합 도매업
011930,신성이엔지,반도체 제조업
012030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
012160,영흥,1차 철강 제조업
012170,키위미디어그룹,"영화, 비디오물, 방송프로그램 제작 및 배급업"
012200,계양전기,일반 목적용 기계 제조업
012280,영화금속,자동차 신품 부품 제조업
012320,경동인베스트,기타 금융업
012330,현대모비스,자동차 신품 부품 제조업
012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업"
012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
012600,센트럴인사이트,일반 목적용 기계 제조업
012610,경인양행,기초 화학물질 제조업
012630,HDC,기타 금융업
012690,모나리자,기타 종이 및 판지 제품 제조업
012750,에스원,"경비, 경호 및 탐정업"
012800,대창,1차 비철금속 제조업
013000,세우글로벌,기타 전문 도매업
013360,일성건설,토목 건설업
013520,화승알앤에이,자동차 신품 부품 제조업
013570,디와이,기타 금융업
013580,계룡건설산업,토목 건설업
013700,까뮤이앤씨,건물 건설업
013870,지엠비코리아,자동차 신품 부품 제조업
013890,지누스,가구 제조업
014130,한익스프레스,도로 화물 운송업
014160,대영포장,"골판지, 종이 상자 및 종이용기 제조업"
014280,금강공업,1차 철강 제조업
014440,영보화학,플라스틱제품 제조업
014530,극동유화,석유 정제품 제조업
014580,태경비케이,"시멘트, 석회, 플라스터 및 그 제품 제조업"
014680,한솔케미칼,기초 화학물질 제조업
014710,사조씨푸드,수산물 가공 및 저장 처리업
014790,한라,토목 건설업
014820,동원시스템즈,플라스틱제품 제조업
014830,유니드,기초 화학물질 제조업
014910,성문전자,전자부품 제조업
014990,인디에프,봉제의복 제조업
015020,이스타코,부동산 임대 및 공급업
015230,대창단조,자동차 신품 부품 제조업
015260,에이엔피,전자부품 제조업
015350,부산도시가스,연료용 가스 제조 및 배관공급업
015360,예스코홀딩스,기타 금융업
015540,쎌마테라퓨틱스,기타 사업지원 서비스업
015590,큐로,일반 목적용 기계 제조업
015760,한국전력공사,전기업
015860,일진홀딩스,기타 금융업
015890,태경산업,기초 화학물질 제조업
016090,대현,봉제의복 제조업
016360,삼성증권,금융 지원 서비스업
016380,KG동부제철,1차 철강 제조업
016450,한세예스24홀딩스,봉제의복 제조업
016580,환인제약,의약품 제조업
016590,신대양제지,"골판지, 종이 상자 및 종이용기 제조업"
016610,DB금융투자,금융 지원 서비스업
016710,대성홀딩스,회사 본부 및 경영 컨설팅 서비스업
016740,두올,자동차 신품 부품 제조업
016800,퍼시스,가구 제조업
016880,웅진,기타 금융업
017040,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
017180,명문제약,의약품 제조업
017370,우신시스템,특수 목적용 기계 제조업
017390,서울도시가스,연료용 가스 제조 및 배관공급업
017550,수산중공업,특수 목적용 기계 제조업
017670,SK텔레콤,전기 통신업
017800,현대엘리베이터,일반 목적용 기계 제조업
017810,풀무원,기타 식품 제조업
017900,광전자,반도체 제조업
017940,E1,기타 전문 도매업
017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업"
018250,애경산업,기타 화학제품 제조업
018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
018470,조일알미늄,1차 비철금속 제조업
018500,동원금속,자동차 신품 부품 제조업
018670,SK가스,기타 전문 도매업
018880,한온시스템,일반 목적용 기계 제조업
019170,신풍제약,의약품 제조업
019180,티에이치엔,기타 전기장비 제조업
019440,세아특수강,1차 철강 제조업
019490,하이트론씨스템즈,영상 및 음향기기 제조업
019680,대교,초등 교육기관
020000,한섬,봉제의복 제조업
020120,키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
020150,일진머티리얼즈,전자부품 제조업
020560,아시아나항공,항공 여객 운송업
020760,일진디스플,반도체 제조업
021050,서원,금속 주조업
021240,코웨이,그외 기타 개인 서비스업
021820,세원정공,자동차 신품 부품 제조업
023000,삼원강재,자동차 신품 부품 제조업
023150,MH에탄올,알코올음료 제조업
023350,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
023450,동남합성,기초 화학물질 제조업
023530,롯데쇼핑,종합 소매업
023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
023800,인지컨트롤스,자동차 신품 부품 제조업
023810,인팩,자동차 신품 부품 제조업
023960,에쓰씨엔지니어링,토목 건설업
024070,WISCOM,플라스틱제품 제조업
024090,디씨엠,1차 철강 제조업
024110,기업은행,은행 및 저축기관
024720,한국콜마홀딩스,기타 금융업
024890,대원화성,플라스틱제품 제조업
024900,덕양산업,자동차 신품 부품 제조업
025000,KPX케미칼,기초 화학물질 제조업
025530,에스제이엠홀딩스,자동차 부품 및 내장품 판매업
025540,한국단자공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
025620,제이준코스메틱,기타 화학제품 제조업
025750,한솔홈데코,제재 및 목재 가공업
025820,이구산업,1차 비철금속 제조업
025860,남해화학,"비료, 농약 및 살균, 살충제 제조업"
025890,한국주강,특수 목적용 기계 제조업
026890,디피씨,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
026940,부국철강,1차 철강 제조업
026960,동서,음·식료품 및 담배 도매업
027410,BGF,기타 금융업
027740,마니커,"도축, 육류 가공 및 저장 처리업"
027970,세하,"펄프, 종이 및 판지 제조업"
028050,삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
028100,동아지질,기반조성 및 시설물 축조관련 전문공사업
028260,삼성물산,기타 전문 도매업
028670,팬오션,해상 운송업
029460,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
029530,신도리코,컴퓨터 및 주변장치 제조업
029780,삼성카드,기타 금융업
030000,제일기획,광고업
030200,케이티,전기 통신업
030210,KTB투자증권,금융 지원 서비스업
030610,교보증권,금융 지원 서비스업
030720,동원수산,어로 어업
030790,비케이탑스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
031430,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업"
031440,신세계푸드,음식점업
